;ts;day;vehicle_id;trip;lat;lon
0;24,8;1;1;1;1;-1,51
1;28;1;1;1;2;-1,359485002
2;38;1;1;1;3;-1,251439373
3;44;1;1;1;4;-1,188970004
4;40;1;1;1;5;-1,140514998
5;44;1;1;1;6;-1,100924375
6;64,8;1;1;1;7;-1,08745098
7;52;1;1;1;8;-1,048455007
8;70,4;1;1;1;9;-1,022878745
9;84;1;1;1;10;-0,99
10;86;1;1;1;11;-0,979303657
11;82,4;1;1;1;12;-0,960409377
12;103,2;1;1;1;13;-0,933028324
13;87,2;1;1;1;14;-0,916935982
14;98;1;1;1;15;-0,91195437
15;84;1;1;1;16;-0,887940009
16;122;1;1;1;17;-0,874775539
17;92;1;1;1;18;-0,872363747
18;103,6;1;1;1;19;-0,8606232
19;108;1;1;1;20;-0,859485002
20;129,2;1;1;1;21;-0,848890353
21;116,8;1;1;1;22;-0,82878866
22;158;1;1;1;23;-0,819136082
23;164;1;1;1;24;-0,799894379
24;160;1;1;1;25;-0,791029996
25;134,4;1;1;1;26;-0,802513326
26;138,8;1;1;1;27;-0,794318118
27;188;1;1;1;28;-0,786420984
28;136;1;1;1;29;-0,768801001
29;188;1;1;1;30;-0,751439373
30;25,2;1;2;1;1;-1,28
31;28,8;1;2;1;2;-1,149485002
32;39,2;1;2;1;3;-1,061439373
33;42,4;1;2;1;4;-1,018970004
34;52;1;2;1;5;-0,970514998
35;56;1;2;1;6;-0,890924375
36;53,6;1;2;1;7;-0,85745098
37;58,4;1;2;1;8;-0,848455007
38;70,4;1;2;1;9;-0,822878745
39;64;1;2;1;10;-0,82
40;68,4;1;2;1;11;-0,799303657
41;92;1;2;1;12;-0,740409377
42;87,6;1;2;1;13;-0,743028324
43;87,2;1;2;1;14;-0,706935982
44;104;1;2;1;15;-0,73195437
45;84;1;2;1;16;-0,697940009
46;115,2;1;2;1;17;-0,664775539
47;128;1;2;1;18;-0,652363747
48;111,2;1;2;1;19;-0,6406232
49;132;1;2;1;20;-0,649485002
50;129,2;1;2;1;21;-0,638890353
51;125,6;1;2;1;22;-0,64878866
52;112;1;2;1;23;-0,599136082
53;144,8;1;2;1;24;-0,609894379
54;140;1;2;1;25;-0,601029996
55;186,4;1;2;1;26;-0,572513326
56;171,2;1;2;1;27;-0,564318118
57;132;1;2;1;28;-0,576420984
58;136;1;2;1;29;-0,588801001
59;152;1;2;1;30;-0,541439373
60;24;1;3;1;1;-1,39
61;28;1;3;1;2;-1,259485002
62;35,6;1;3;1;3;-1,151439373
63;40,8;1;3;1;4;-1,098970004
64;44;1;3;1;5;-1,060514998
65;46,4;1;3;1;6;-1,020924375
66;50,8;1;3;1;7;-0,98745098
67;61,6;1;3;1;8;-0,958455007
68;77,6;1;3;1;9;-0,922878745
69;84;1;3;1;10;-0,91
70;77,2;1;3;1;11;-0,889303657
71;72,8;1;3;1;12;-0,850409377
72;98;1;3;1;13;-0,833028324
73;109,6;1;3;1;14;-0,816935982
74;98;1;3;1;15;-0,80195437
75;116;1;3;1;16;-0,787940009
76;128,8;1;3;1;17;-0,774775539
77;128;1;3;1;18;-0,762363747
78;118,8;1;3;1;19;-0,7606232
79;140;1;3;1;20;-0,739485002
80;146;1;3;1;21;-0,748890353
81;143,2;1;3;1;22;-0,71878866
82;158;1;3;1;23;-0,729136082
83;135,2;1;3;1;24;-0,719894379
84;160;1;3;1;25;-0,711029996
85;186,4;1;3;1;26;-0,702513326
86;138,8;1;3;1;27;-0,694318118
87;154,4;1;3;1;28;-0,666420984
88;205,6;1;3;1;29;-0,658801001
89;200;1;3;1;30;-0,661439373
90;16;1;4;1;-1;-1,51
91;11,2;1;4;1;-2;-1,208970004
92;4,4;1;4;1;-3;-1,012878745
93;0,8;1;4;1;-4;-0,907940009
94;-4;1;4;1;-5;-0,811029996
95;-18,4;1;4;1;-6;-0,72184875
96;-10,8;1;4;1;-7;-0,64490196
97;-18,4;1;4;1;-8;-0,606910013
98;-37,6;1;4;1;-9;-0,555757491
99;-44;1;4;1;-10;-0,51
100;-46;1;4;1;-11;-0,468607315
101;-52;1;4;1;-12;-0,430818754
102;-42,4;1;4;1;-13;-0,396056648
103;-52,8;1;4;1;-14;-0,363871964
104;-40;1;4;1;-15;-0,323908741
105;-50,4;1;4;1;-16;-0,305880017
106;-54,8;1;4;1;-17;-0,269551079
107;-88;1;4;1;-18;-0,244727495
108;-78,8;1;4;1;-19;-0,211246399
109;-76;1;4;1;-20;-0,208970004
110;-80,8;1;4;1;-21;-0,167780705
111;-94,4;1;4;1;-22;-0,147577319
112;-127,2;1;4;1;-23;-0,138272164
113;-95,2;1;4;1;-24;-0,129788758
114;-80;1;4;1;-25;-0,092059991
